age,annual_income,avg_monthly_spend,credit_utilization,tenure_years,num_products,risk_score
74,113893.0,4011.0,0.4,10.8,3,37.6
44,58447.0,1662.0,0.27,4.8,1,33.8
74,117153.0,5854.0,0.15,2.8,1,26.7
69,120262.0,3148.0,0.08,1.0,2,28.3
30,60219.0,1100.0,0.21,12.0,5,30.8
58,105907.0,4244.0,0.07,7.0,1,15.2
20,41034.0,1131.0,0.28,1.2,1,45.0
56,95086.0,3669.0,0.0,2.1,1,17.7
23,62348.0,1257.0,0.22,5.0,1,33.6
25,62845.0,2143.0,0.09,5.9,3,23.1
44,58718.0,1713.0,0.38,7.3,1,39.5
26,54615.0,1887.0,0.27,2.9,1,37.7
54,119962.0,5412.0,0.36,6.3,7,44.7
50,82613.0,4056.0,0.05,2.4,1,25.7
68,111837.0,4672.0,0.28,1.2,2,35.1
59,99499.0,4202.0,0.54,5.0,1,49.4
61,126724.0,4346.0,0.01,18.7,7,8.0
41,98556.0,1963.0,0.04,1.9,1,25.0
32,80513.0,3132.0,0.17,3.1,1,31.3
71,100601.0,2172.0,0.23,5.6,2,29.1
49,94188.0,2341.0,0.15,3.9,2,33.9
49,97319.0,3917.0,0.0,9.3,4,20.5
41,68721.0,2650.0,0.07,7.2,2,29.3
58,86542.0,2349.0,0.47,0.3,2,43.9
69,138375.0,5867.0,0.0,32.3,7,2.5
66,104688.0,5023.0,0.0,7.0,3,15.3
66,133425.0,4649.0,0.18,10.0,7,38.8
69,127756.0,5015.0,0.0,5.3,2,17.3
29,70918.0,1824.0,0.51,9.7,4,51.6
56,103988.0,5098.0,0.14,0.6,1,33.0
19,31794.0,820.0,0.33,1.0,1,38.9
20,57102.0,2641.0,0.28,2.0,1,36.3
66,130455.0,6209.0,0.0,1.1,1,22.0
54,105020.0,4270.0,0.1,0.4,3,32.0
66,111515.0,4875.0,0.08,7.8,1,19.6
73,143279.0,4575.0,0.0,9.0,5,12.7
34,68024.0,3219.0,0.07,0.9,1,28.1
66,99907.0,4138.0,0.0,9.6,2,9.2
19,55107.0,1519.0,0.43,1.0,1,46.6
19,64297.0,1147.0,0.47,1.0,1,53.2
45,58233.0,2020.0,0.13,8.9,2,25.3
71,119473.0,5339.0,0.0,2.7,1,15.7
40,90155.0,4089.0,0.21,1.1,1,27.3
54,90755.0,4039.0,0.15,1.7,2,33.9
49,105404.0,2511.0,0.24,3.5,2,31.9
50,99618.0,3075.0,0.01,3.8,3,14.4
18,83721.0,3108.0,0.17,0.0,1,35.7
36,61941.0,2411.0,0.11,7.8,1,26.6
19,65261.0,1816.0,0.51,1.0,1,45.1
70,98740.0,3925.0,0.34,7.6,1,48.7
61,78970.0,2872.0,0.47,1.1,3,45.0
43,51067.0,1816.0,0.27,0.3,2,39.9
49,96875.0,3756.0,0.12,10.3,4,31.7
23,60364.0,2220.0,0.04,0.4,2,26.5
49,81614.0,1814.0,0.08,1.4,2,25.6
72,89797.0,4114.0,0.0,5.9,1,9.7
21,44844.0,1107.0,0.38,2.6,2,51.4
72,116461.0,4831.0,0.11,10.5,2,25.6
28,75498.0,1702.0,0.3,1.8,1,29.7
73,117352.0,4541.0,0.06,0.1,1,31.2
34,74581.0,3470.0,0.28,1.8,3,35.9
55,90358.0,1535.0,0.22,4.3,2,29.4
41,105438.0,5200.0,0.08,2.4,1,20.5
22,41126.0,726.0,0.28,3.8,2,35.8
69,102311.0,1744.0,0.0,10.5,2,18.5
51,83815.0,3793.0,0.23,12.2,4,25.1
23,65741.0,2649.0,0.06,1.5,1,23.2
39,61217.0,1236.0,0.36,3.1,1,57.1
28,65636.0,3145.0,0.46,4.0,1,47.8
65,110474.0,4316.0,0.0,14.9,1,17.0
33,59185.0,1205.0,0.35,15.0,2,28.2
50,94950.0,4306.0,0.34,1.3,1,33.1
26,46083.0,1507.0,0.12,6.5,2,31.4
23,40844.0,1059.0,0.27,2.4,1,40.7
33,71094.0,3140.0,0.08,0.0,1,33.6
46,60304.0,2489.0,0.21,0.0,1,32.5
20,21828.0,817.0,0.56,2.0,1,58.5
37,82392.0,3841.0,0.32,3.4,3,24.9
53,109335.0,4961.0,0.0,0.1,1,22.6
36,66198.0,1604.0,0.24,5.8,3,36.2
43,71579.0,3289.0,0.0,1.7,4,15.6
20,69083.0,2013.0,0.59,2.0,1,59.9
36,56017.0,1740.0,0.66,1.8,1,57.5
37,53949.0,2648.0,0.24,0.9,1,33.8
49,99415.0,4175.0,0.0,2.6,2,17.3
24,58936.0,1614.0,0.2,1.3,1,39.3
69,128773.0,4927.0,0.0,3.8,4,15.7
58,67496.0,2338.0,0.26,1.1,1,32.0
50,68990.0,1418.0,0.23,3.6,1,27.6
57,98615.0,4562.0,0.22,0.9,1,31.0
56,103465.0,4559.0,0.0,5.6,1,18.1
35,84705.0,3608.0,0.03,7.0,2,21.6
57,101022.0,3567.0,0.0,0.6,1,15.9
18,54070.0,1299.0,0.18,0.0,1,32.7
28,57759.0,2664.0,0.31,0.4,3,41.7
45,107864.0,3067.0,0.14,4.6,2,21.4
74,102255.0,1773.0,0.15,1.5,2,28.6
42,85785.0,4237.0,0.34,3.7,2,37.7
67,95583.0,4337.0,0.15,3.6,1,27.4
40,86022.0,3219.0,0.09,12.9,4,16.1
48,72045.0,1231.0,0.51,4.0,1,48.1
47,97557.0,2366.0,0.17,4.4,2,28.2
59,102482.0,3252.0,0.0,2.6,2,28.0
52,118570.0,4459.0,0.19,14.9,6,23.7
24,54585.0,2198.0,0.1,6.0,4,29.8
33,75974.0,3263.0,0.08,1.7,2,30.7
43,69905.0,2460.0,0.38,9.3,1,31.5
65,103682.0,3996.0,0.02,2.8,1,18.0
74,120386.0,5262.0,0.0,8.8,3,22.4
69,89892.0,3655.0,0.04,8.7,1,18.9
66,87936.0,4264.0,0.32,1.0,1,37.9
19,61798.0,2832.0,0.14,1.0,1,31.9
18,49409.0,1102.0,0.24,0.0,1,39.9
65,99106.0,4782.0,0.5,1.8,1,48.8
29,53745.0,1262.0,0.26,1.8,1,33.5
22,45923.0,2283.0,0.23,4.0,4,19.9
54,96488.0,3864.0,0.47,1.3,1,47.5
49,95476.0,3588.0,0.19,0.0,1,29.2
72,85018.0,2336.0,0.38,6.3,1,34.6
26,82393.0,1739.0,0.13,0.9,1,26.2
58,119726.0,2499.0,0.04,0.6,1,20.1
52,57440.0,2617.0,0.59,1.4,2,55.8
36,89489.0,2781.0,0.32,2.4,2,36.4
65,123828.0,4375.0,0.05,3.2,3,23.5
33,69607.0,3322.0,0.14,0.2,2,29.1
20,34542.0,870.0,0.39,2.0,1,49.0
37,89628.0,3776.0,0.24,6.3,1,28.3
41,75582.0,2445.0,0.11,2.0,2,34.5
71,123433.0,2933.0,0.0,1.9,1,24.3
73,150888.0,6805.0,0.0,3.0,3,25.9
50,93778.0,3688.0,0.27,4.9,3,34.7
41,65447.0,1298.0,0.23,0.8,1,32.0
69,107764.0,3742.0,0.0,1.0,1,16.8
28,51758.0,2332.0,0.56,9.8,1,57.3
66,115702.0,2187.0,0.07,1.5,1,28.8
25,47909.0,1463.0,0.2,2.4,1,25.9
53,86507.0,3764.0,0.55,10.3,1,52.5
55,76734.0,3474.0,0.33,5.4,1,32.6
57,96419.0,4099.0,0.0,2.1,2,20.5
37,77051.0,2069.0,0.07,5.8,1,25.5
52,52128.0,1750.0,0.21,0.1,2,39.9
65,111894.0,4630.0,0.08,6.7,1,22.3
42,79714.0,1734.0,0.07,3.3,2,21.5
52,80925.0,2954.0,0.25,8.4,1,30.5
42,110829.0,4508.0,0.1,15.5,1,23.4
46,99577.0,4481.0,0.0,13.0,3,17.1
35,55554.0,1133.0,0.25,12.0,3,28.4
63,118174.0,3268.0,0.0,3.6,2,8.8
35,90667.0,3148.0,0.09,2.2,2,12.2
19,54780.0,2193.0,0.15,1.0,1,29.9
71,120622.0,4946.0,0.0,5.9,1,11.0
52,97475.0,2447.0,0.0,10.8,2,11.7
33,38313.0,656.0,0.4,1.2,1,42.2
58,96797.0,3852.0,0.05,12.5,4,26.9
53,90016.0,4228.0,0.39,8.4,4,39.5
50,111452.0,4820.0,0.27,19.3,2,29.4
21,60206.0,2253.0,0.29,3.0,2,38.3
50,85536.0,4213.0,0.29,1.6,1,24.7
31,65848.0,2048.0,0.31,0.6,1,36.2
38,90951.0,3108.0,0.0,0.6,1,13.6
65,105231.0,1797.0,0.0,1.7,1,27.7
37,63927.0,3081.0,0.23,4.8,2,22.4
73,113464.0,4097.0,0.05,8.2,1,16.6
25,74110.0,2201.0,0.19,7.0,1,26.3
24,66242.0,1202.0,0.36,4.9,1,33.9
20,54664.0,1571.0,0.18,0.0,4,31.2
34,73673.0,1237.0,0.5,1.0,5,49.4
50,81604.0,2242.0,0.24,0.5,3,34.7
65,105091.0,5084.0,0.18,2.3,2,32.4
29,54850.0,1196.0,0.1,3.5,1,25.2
68,107178.0,3735.0,0.1,0.2,1,27.7
39,96993.0,2220.0,0.39,2.1,1,48.1
72,100232.0,4288.0,0.0,1.0,1,11.2
39,66469.0,2354.0,0.29,5.2,1,38.0
63,86786.0,2031.0,0.15,3.1,1,22.3
47,64336.0,2930.0,0.23,3.4,1,28.8
55,93198.0,3989.0,0.1,2.8,2,25.1
55,86736.0,4196.0,0.0,15.6,2,13.8
62,130825.0,2183.0,0.02,1.2,2,23.4
68,107357.0,3425.0,0.0,3.6,1,13.4
71,134541.0,6726.0,0.0,6.7,1,24.8
25,74520.0,3257.0,0.38,4.1,1,38.3
44,79666.0,3535.0,0.07,13.2,3,13.9
44,114452.0,4277.0,0.03,2.4,2,14.4
51,95228.0,3850.0,0.49,3.1,1,41.1
38,98295.0,4277.0,0.13,0.5,2,20.3
47,107349.0,2119.0,0.02,4.7,1,20.3
50,96220.0,3825.0,0.01,1.7,1,22.8
45,95267.0,4177.0,0.1,0.9,1,21.5
64,116161.0,2094.0,0.0,3.9,1,12.2
50,72836.0,1935.0,0.25,3.8,2,32.0
22,57259.0,1573.0,0.29,0.4,1,37.5
65,124114.0,5604.0,0.0,6.0,3,18.2
36,96093.0,4101.0,0.0,4.9,1,12.6
21,44390.0,1711.0,0.26,1.0,1,34.0
52,100332.0,4364.0,0.0,3.2,3,26.2
66,111463.0,3542.0,0.1,6.4,3,16.5
34,69032.0,3164.0,0.01,3.8,1,18.3
61,108540.0,2656.0,0.0,2.5,4,21.2
45,87270.0,3504.0,0.31,1.9,1,33.0
47,94521.0,2337.0,0.01,4.7,1,21.3
46,106826.0,1922.0,0.17,14.0,4,16.1
63,117362.0,3068.0,0.0,5.6,2,20.2
70,118659.0,3927.0,0.22,0.4,1,33.4
23,85569.0,3832.0,0.19,3.1,2,22.5
52,109049.0,3667.0,0.08,11.1,4,22.2
58,98214.0,2223.0,0.06,0.5,1,18.8
54,76543.0,3809.0,0.04,22.5,4,10.0
41,64383.0,1653.0,0.2,14.9,6,27.2
46,99198.0,4911.0,0.2,0.4,2,26.8
66,99745.0,4776.0,0.0,13.5,5,10.2
63,90479.0,3144.0,0.0,2.3,1,24.4
70,102629.0,2025.0,0.04,9.3,1,7.1
48,77289.0,3080.0,0.09,2.7,1,31.1
52,105160.0,4717.0,0.13,2.9,2,18.9
50,87649.0,2762.0,0.19,5.0,2,25.4
69,92214.0,2272.0,0.0,7.4,7,17.5
38,76066.0,3303.0,0.3,0.2,3,40.7
49,92134.0,3210.0,0.2,4.5,3,31.4
40,70810.0,1647.0,0.38,1.0,2,42.3
50,107338.0,5186.0,0.17,2.1,1,26.6
20,47686.0,2302.0,0.45,2.0,2,53.9
35,88625.0,2561.0,0.35,3.2,2,43.0
42,89352.0,1680.0,0.4,2.0,3,48.7
59,114699.0,4323.0,0.03,0.6,2,19.7
48,71122.0,1937.0,0.29,0.8,1,25.4
71,116675.0,2203.0,0.0,0.2,1,25.0
20,53208.0,2468.0,0.13,2.0,1,28.5
57,77070.0,3849.0,0.27,15.4,5,29.1
63,122176.0,3463.0,0.04,0.6,1,19.1
41,66939.0,2777.0,0.29,14.6,4,27.8
67,101256.0,1910.0,0.28,6.6,1,30.4
49,73600.0,2134.0,0.0,5.1,5,17.6
64,117318.0,2381.0,0.1,5.2,1,17.9
39,53911.0,998.0,0.15,8.8,1,27.9
40,87268.0,3167.0,0.24,0.6,1,44.1
19,68468.0,2972.0,0.02,1.0,1,17.5
44,90858.0,2886.0,0.18,6.0,1,19.5
59,111489.0,3806.0,0.45,4.4,3,44.0
19,64193.0,1649.0,0.19,1.0,1,32.5
43,67359.0,2776.0,0.14,0.4,1,30.6
34,92321.0,2650.0,0.28,5.9,3,42.0
57,91499.0,1731.0,0.22,3.8,3,35.2
50,89004.0,1974.0,0.03,2.4,2,11.5
26,56210.0,1178.0,0.32,2.1,1,32.1
60,109373.0,3412.0,0.05,4.8,1,22.7
71,107129.0,2018.0,0.15,11.1,1,21.1
65,109004.0,4747.0,0.21,3.4,2,38.6
56,78670.0,3692.0,0.27,8.7,1,26.8
46,102670.0,2561.0,0.14,2.6,2,31.7
59,110861.0,3642.0,0.0,0.5,1,16.5
72,112016.0,3805.0,0.34,0.3,3,41.6
43,74563.0,3691.0,0.21,0.3,1,28.3
52,102069.0,1924.0,0.14,2.4,2,30.0
67,99791.0,3885.0,0.27,2.1,3,40.3
42,82280.0,2320.0,0.12,6.3,1,25.3
41,96621.0,3227.0,0.17,6.8,2,36.2
30,53831.0,1287.0,0.37,0.3,1,38.5
24,64329.0,1416.0,0.6,1.2,3,56.1
74,123536.0,3062.0,0.0,1.6,3,23.4
53,92140.0,1755.0,0.0,4.0,1,13.2
62,96843.0,2512.0,0.09,0.8,1,25.6
37,92622.0,3675.0,0.13,0.7,1,30.8
18,42636.0,1637.0,0.12,0.0,1,31.9
25,32819.0,1154.0,0.46,7.0,1,49.8
63,115208.0,1922.0,0.0,1.0,3,15.1
33,51580.0,1076.0,0.28,2.6,2,37.1
31,77578.0,3473.0,0.3,2.2,1,30.1
29,84824.0,2182.0,0.0,7.8,2,12.3
68,121046.0,5698.0,0.05,3.6,1,20.5
40,94071.0,4310.0,0.05,0.7,2,28.7
32,98701.0,2155.0,0.1,6.7,1,25.3
45,98501.0,4591.0,0.17,2.5,2,28.8
51,96159.0,3615.0,0.08,1.5,3,26.4
19,77309.0,2913.0,0.3,1.0,1,39.9
49,115122.0,5191.0,0.07,3.4,1,24.2
40,104532.0,3154.0,0.2,2.1,1,28.1
39,69418.0,2858.0,0.0,1.4,1,14.5
68,91290.0,3553.0,0.36,2.5,2,38.9
42,72102.0,3056.0,0.21,0.1,1,28.4
39,87355.0,3378.0,0.02,7.4,2,20.2
39,79187.0,1531.0,0.02,0.9,1,28.4
66,106103.0,2804.0,0.0,0.2,1,22.7
69,121207.0,5818.0,0.0,5.3,2,8.3
59,78738.0,1899.0,0.1,7.4,2,18.8
23,59718.0,1935.0,0.44,5.0,2,43.7
32,85177.0,2433.0,0.01,3.4,2,11.6
71,123440.0,2412.0,0.02,1.1,3,21.0
60,112377.0,2552.0,0.13,6.7,2,26.5
54,118761.0,3114.0,0.05,6.0,2,26.9
50,89008.0,2858.0,0.08,1.4,1,33.0
25,50204.0,2300.0,0.23,7.0,3,24.0
70,131843.0,4463.0,0.02,0.6,1,20.3
61,120767.0,4637.0,0.0,20.3,6,8.8
61,111574.0,3444.0,0.0,9.8,2,11.3
22,53994.0,2466.0,0.23,4.0,2,32.3
56,97221.0,3768.0,0.26,14.0,2,27.9
21,36048.0,710.0,0.52,3.0,1,52.5
23,74294.0,2421.0,0.0,1.1,3,26.3
62,120565.0,5334.0,0.08,2.9,4,23.6
49,69125.0,2843.0,0.02,0.4,1,18.7
69,125814.0,5894.0,0.0,2.5,1,13.6
47,92462.0,2243.0,0.24,6.8,3,40.8
64,91470.0,4504.0,0.08,2.4,1,28.0
52,74310.0,1945.0,0.0,2.0,1,20.9
72,122002.0,2237.0,0.19,4.5,1,28.1
57,92434.0,3068.0,0.29,10.3,4,39.9
69,140099.0,2850.0,0.0,0.2,2,19.1
33,83889.0,3303.0,0.18,2.4,1,20.9
30,73105.0,3413.0,0.35,0.9,2,41.7
67,118246.0,5602.0,0.0,5.9,2,10.7
59,120763.0,4456.0,0.0,0.6,2,21.1
47,99098.0,3420.0,0.02,5.5,1,24.8
36,80696.0,4019.0,0.66,1.7,1,50.4
34,56096.0,2018.0,0.33,1.1,3,34.5
73,163529.0,7781.0,0.0,13.8,1,17.1
36,56652.0,2675.0,0.39,0.1,2,40.9
45,79312.0,2087.0,0.22,2.9,1,34.0
72,91579.0,1568.0,0.0,0.1,1,22.0
43,89682.0,2808.0,0.0,3.3,5,22.7
54,97067.0,4405.0,0.21,3.5,1,27.8
43,93079.0,4146.0,0.24,1.9,1,20.9
70,87914.0,3234.0,0.12,0.7,1,28.9
40,94694.0,2073.0,0.08,2.4,1,15.6
26,49088.0,994.0,0.12,5.6,2,28.9
29,62565.0,3034.0,0.12,7.6,4,23.1
70,127974.0,3930.0,0.03,3.8,1,18.2
