customer_id,age,income,tenure_years,avg_monthly_usage,monthly_charges,contract_type,payment_method,region,customer_segment,has_dependents,paperless_billing,churn
58,37,70551,4.1,64.65677908818392,79.58,Month-to-Month,Electronic Check,East,Medium,0,1,0
59,46,171631,1.4,56.01131053106177,79.27,One Year,Electronic Check,South,Low,0,1,0
60,54,55767,5.4,53.65393666027645,62.02,One Year,Credit Card,East,Low,1,1,0
61,35,41238,8.1,73.80147573672653,69.34,One Year,Bank Transfer,East,Low,0,1,0
62,39,59715,0.9,57.62792645762752,57.19,Two Year,Credit Card,East,Low,0,1,0
63,27,32829,3.4,80.18375462674146,71.24,One Year,Credit Card,North,Medium,1,1,0
64,26,149250,1.7,66.17493901521759,60.09,One Year,Electronic Check,South,Low,1,0,1
65,52,44313,16.0,43.879667077341495,27.94,One Year,Credit Card,West,Medium,0,0,0
66,59,34540,2.3,46.05158757034115,63.72,One Year,Electronic Check,South,Low,1,0,1
67,41,25345,0.9,41.90563348382297,49.88,Month-to-Month,Credit Card,North,Low,1,1,0
68,55,73384,1.7,76.91586439511288,77.18,Two Year,Mailed Check,West,Low,1,1,0
69,46,64663,3.7,47.70908284698005,20.0,Month-to-Month,Bank Transfer,North,Medium,0,1,0
70,33,30529,0.3,40.62748965760662,49.43,One Year,Electronic Check,South,Low,0,1,1
71,46,55107,3.2,60.75600474028276,55.01,One Year,Credit Card,South,Medium,0,1,0
72,61,17505,9.4,53.250992085294946,77.75,Month-to-Month,Credit Card,West,Low,1,1,0
73,41,44432,6.6,60.30223322635295,70.71,Month-to-Month,Electronic Check,South,Low,0,1,0
74,62,51483,0.2,89.01665027008917,63.79,Month-to-Month,Mailed Check,East,High,1,0,1
75,18,102644,17.6,71.43527450671948,67.93,Month-to-Month,Credit Card,East,Low,1,1,0
76,52,26266,4.2,55.486189977434314,56.54,Two Year,Credit Card,North,High,0,0,0
77,43,19868,0.6,29.648379084291847,33.62,Two Year,Credit Card,South,High,0,1,0
78,38,24526,0.0,46.00067505024456,44.92,Month-to-Month,Electronic Check,South,Medium,0,1,1
79,43,19242,0.7,67.79882984581546,54.12,Month-to-Month,Electronic Check,West,Medium,1,0,0
80,18,83714,6.4,33.92126128608731,73.39,Two Year,Electronic Check,West,Medium,1,0,0
81,39,94065,0.1,93.53746533394637,98.02,Month-to-Month,Credit Card,West,High,0,0,0
82,46,47864,0.9,55.259498127439876,66.76,Two Year,Electronic Check,South,Medium,0,0,0
83,61,78567,5.0,55.879271077770724,40.84,Month-to-Month,Mailed Check,South,Low,1,1,0
84,35,43203,3.1,43.0003865267564,59.65,One Year,Bank Transfer,South,Low,0,1,0
85,31,38089,5.3,63.941279621962934,58.12,Month-to-Month,Bank Transfer,East,Low,1,1,1
86,35,33417,4.8,34.15596748259982,59.97,Month-to-Month,Bank Transfer,East,Low,1,0,0
87,53,33836,0.2,93.96806660382623,72.21,Month-to-Month,Bank Transfer,West,Low,1,1,1
88,46,17132,7.8,78.7123234837362,72.79,One Year,Electronic Check,West,Medium,0,1,0
89,35,46413,0.9,72.71733601354683,56.96,Month-to-Month,Credit Card,North,Medium,1,1,1
90,48,39254,2.8,29.97227789578343,20.26,One Year,Electronic Check,East,Medium,0,0,0
91,43,60472,3.6,58.697438868239516,46.33,Month-to-Month,Electronic Check,East,Low,0,1,0
92,54,42253,0.6,76.76355516425208,67.17,Month-to-Month,Credit Card,South,Low,0,1,1
93,32,36699,13.1,65.67589718843931,75.1,Month-to-Month,Credit Card,East,Medium,1,1,0
94,37,24855,2.3,36.96203611659205,40.33,Month-to-Month,Electronic Check,West,Medium,0,1,0
95,36,41759,0.2,43.298312404444204,54.37,Month-to-Month,Credit Card,South,Medium,1,1,0
96,22,60236,9.7,46.86514951589217,36.25,Month-to-Month,Electronic Check,North,Low,0,1,0
97,45,21400,3.1,44.13811897920506,69.66,One Year,Bank Transfer,South,Medium,0,0,1
98,45,42112,4.2,82.51801904278554,83.23,Two Year,Mailed Check,West,Medium,1,1,0
99,42,45623,2.6,20.42176350118139,43.4,One Year,Bank Transfer,West,Medium,1,1,0
100,38,27039,6.3,66.80654451385905,57.26,Month-to-Month,Bank Transfer,North,Low,1,0,0
101,23,29047,0.1,31.73853925128788,59.75,Month-to-Month,Credit Card,East,High,0,1,0
102,36,45562,1.1,37.69747322588078,40.01,Month-to-Month,Electronic Check,South,Low,1,0,0
103,37,21517,2.2,18.82479939636309,23.74,Month-to-Month,Bank Transfer,South,Low,0,1,0
104,31,48652,0.3,45.117020239140416,62.03,Month-to-Month,Electronic Check,South,Medium,0,1,0
105,39,24527,4.3,82.19316972770585,76.51,Month-to-Month,Credit Card,South,Medium,1,1,0
106,47,72010,1.8,59.766836364366,39.5,Month-to-Month,Bank Transfer,North,Low,0,1,0
107,66,145190,1.1,33.42949215401626,32.62,Month-to-Month,Mailed Check,East,Medium,1,1,0
108,44,24998,0.0,73.30865813882762,88.09,Month-to-Month,Credit Card,West,Low,1,1,1
109,45,53842,4.5,77.16347674423633,71.18,Month-to-Month,Mailed Check,South,Medium,1,1,0
110,41,26911,6.3,56.87283665870354,67.53,Month-to-Month,Credit Card,North,Medium,1,1,1
111,18,71148,1.8,91.62548484674662,62.77,One Year,Electronic Check,North,Low,0,1,0
112,41,20012,2.9,69.78815424324306,77.52,Month-to-Month,Credit Card,North,Medium,1,1,1
113,42,52277,0.9,67.28774513126659,50.04,Month-to-Month,Bank Transfer,North,Low,0,1,0
114,74,24831,3.4,40.53918327100678,26.84,Month-to-Month,Credit Card,West,Medium,1,1,0
115,39,35816,0.0,66.29317274118414,70.17,Month-to-Month,Bank Transfer,South,Low,0,1,0
116,45,22764,2.3,58.90224299688088,72.03,Two Year,Credit Card,North,Medium,0,1,1
117,41,63088,3.6,64.35692204807847,65.72,Month-to-Month,Credit Card,South,Medium,1,1,0
118,26,25327,8.8,42.67745885545605,36.21,Month-to-Month,Electronic Check,West,High,1,1,0
119,56,54370,1.7,57.30577991846176,71.08,One Year,Electronic Check,South,Low,0,0,0
120,51,33214,5.1,40.29649299613075,43.85,One Year,Electronic Check,South,Low,1,0,0
121,52,37685,3.2,16.351622200611423,33.76,Two Year,Credit Card,South,Low,1,0,0
122,30,43532,9.2,72.9694822344109,74.69,Two Year,Bank Transfer,North,Low,0,0,0
123,60,26396,1.8,27.95699832958869,37.97,Month-to-Month,Bank Transfer,West,Low,1,1,1
124,23,45057,1.3,56.92935636608349,49.47,Month-to-Month,Electronic Check,North,High,0,1,0
125,49,93123,7.6,60.99403833008272,68.05,One Year,Credit Card,East,Low,1,0,0
126,70,26161,0.2,60.87813428553499,48.54,Two Year,Credit Card,North,Medium,1,1,0
127,29,76457,0.5,49.904576675231496,51.0,Two Year,Credit Card,South,Medium,0,1,1
128,34,91487,0.3,59.88180655503952,36.03,Month-to-Month,Credit Card,West,Low,0,1,1
129,43,25619,6.5,63.47740725613292,54.69,Month-to-Month,Electronic Check,East,Low,1,1,1
130,35,18028,0.0,68.22936668353573,59.04,One Year,Mailed Check,South,High,1,1,0
131,21,47385,6.9,86.20194410891673,89.45,Month-to-Month,Mailed Check,East,Low,0,0,1
132,42,29700,2.1,59.2154947269677,69.42,Month-to-Month,Electronic Check,North,Medium,0,0,1
133,28,112165,0.0,56.15287921031863,62.17,One Year,Bank Transfer,West,Low,1,1,0
134,48,40910,1.8,38.67887862369831,51.83,Month-to-Month,Electronic Check,East,Medium,0,0,1
135,30,25817,0.7,62.84703383018807,59.8,Two Year,Electronic Check,South,Low,0,0,1
136,62,21355,3.4,67.01289585653024,65.29,Two Year,Mailed Check,South,Low,0,1,0
137,31,73090,4.0,51.53854268293071,33.77,Month-to-Month,Bank Transfer,North,Low,0,1,0
138,37,29314,2.3,64.80302507531266,40.17,One Year,Electronic Check,East,Low,1,1,1
139,52,41114,0.1,49.73470851611185,67.79,One Year,Bank Transfer,South,High,1,1,0
140,25,67893,3.7,67.07786773760063,73.96,Month-to-Month,Bank Transfer,South,Low,0,1,0
141,44,30750,6.5,71.42684165253539,61.99,Month-to-Month,Bank Transfer,West,Medium,1,1,0
142,58,39133,4.5,71.17530160114873,82.52,Month-to-Month,Electronic Check,North,High,0,0,0
143,21,39770,6.2,57.12119787054341,49.09,Two Year,Bank Transfer,South,Low,1,0,0
144,44,58444,0.8,36.28057327089307,31.63,Month-to-Month,Bank Transfer,South,High,1,0,0
145,45,55542,7.7,43.98556505244723,44.21,Month-to-Month,Credit Card,South,Medium,1,0,1
146,52,35558,1.4,65.71283182992511,64.12,Month-to-Month,Credit Card,East,Medium,0,0,1
147,25,41564,0.0,99.07862150332409,49.73,Month-to-Month,Electronic Check,East,High,0,1,0
148,24,32712,6.5,48.86702611242253,36.63,Month-to-Month,Electronic Check,North,Low,1,1,0
149,48,17806,10.0,63.20507821098652,67.42,Month-to-Month,Credit Card,North,Low,1,1,0
150,45,46243,3.7,44.99105396537074,38.05,Month-to-Month,Bank Transfer,North,Low,0,0,0
151,45,113630,0.9,37.468593203516185,39.93,One Year,Bank Transfer,North,High,1,1,0
152,46,24685,1.0,42.82631445560747,27.36,One Year,Credit Card,North,Low,0,1,0
153,33,26234,2.2,17.515504419351913,41.11,One Year,Bank Transfer,North,High,0,1,0
154,45,24862,8.0,79.36183113233952,61.85,Month-to-Month,Bank Transfer,South,Low,1,1,0
155,45,59785,0.6,14.857655447536956,20.51,One Year,Credit Card,East,Medium,0,1,0
156,32,51362,6.1,50.25109185278861,44.33,Month-to-Month,Electronic Check,North,Medium,1,1,0
157,66,36783,1.2,33.79369788369902,36.67,Month-to-Month,Electronic Check,East,High,0,1,1
158,48,24223,5.8,39.08115612348032,32.88,Month-to-Month,Electronic Check,North,Low,0,1,0
159,26,42226,8.9,79.77740787529602,83.78,Month-to-Month,Electronic Check,East,Low,1,0,0
160,50,16974,2.0,58.61920582056506,33.27,Month-to-Month,Electronic Check,East,High,1,0,0
161,29,43429,1.6,37.62286913472939,41.79,Month-to-Month,Bank Transfer,East,High,1,1,0
162,52,64817,5.7,44.388691615062804,54.92,Month-to-Month,Electronic Check,North,Low,0,1,0
163,57,20167,2.6,41.22133803204246,32.54,Month-to-Month,Credit Card,South,Medium,1,0,1
164,31,17276,4.0,54.21617790258015,50.5,Month-to-Month,Mailed Check,West,Low,0,1,1
165,54,95672,3.4,58.11205032617846,39.86,Two Year,Bank Transfer,South,Medium,1,1,0
166,47,28667,0.6,89.12034591811408,94.86,One Year,Bank Transfer,South,Medium,1,1,0
167,52,74964,6.5,20.506586212041277,23.49,Two Year,Electronic Check,West,Medium,0,1,0
168,66,36875,0.8,54.37337833435686,33.32,One Year,Credit Card,East,Low,1,1,1
169,38,36714,9.4,49.3197815343786,36.06,Month-to-Month,Credit Card,West,Low,0,1,0
170,32,51078,1.0,72.03787349890209,59.92,Two Year,Credit Card,North,Medium,1,1,0
171,30,24681,4.6,61.386726127211084,52.0,Two Year,Credit Card,South,Medium,1,0,0
172,31,43168,1.2,65.62651974606902,60.44,Month-to-Month,Credit Card,South,High,0,1,0
173,40,32538,1.3,61.211551348271485,69.77,Month-to-Month,Mailed Check,East,Medium,0,1,0
174,46,19413,1.3,38.22415974489628,42.01,Month-to-Month,Electronic Check,North,Low,1,0,1
175,45,48320,4.8,76.80277893687423,72.85,Two Year,Electronic Check,South,Low,1,0,0
176,52,34723,2.8,69.37308828308204,56.7,Month-to-Month,Credit Card,East,Medium,0,1,0
177,42,36814,7.5,71.47953625104537,76.62,One Year,Credit Card,South,Medium,0,1,0
178,60,20628,1.3,77.75290306912896,69.87,One Year,Electronic Check,East,Medium,1,0,1
179,38,96304,4.1,62.51815181173528,83.73,Month-to-Month,Bank Transfer,South,Low,0,0,0
180,77,65003,4.9,81.65786327411487,91.32,One Year,Credit Card,South,Low,1,1,0
181,50,68205,0.6,61.79751229215954,50.88,One Year,Credit Card,North,High,0,1,0
182,30,33928,1.8,51.056945415557045,35.05,Month-to-Month,Bank Transfer,East,High,0,0,0
183,28,15505,2.3,54.881129611299436,60.92,Month-to-Month,Bank Transfer,North,Low,1,1,0
184,48,117489,1.5,54.5708121735499,57.02,Two Year,Mailed Check,West,Medium,1,0,0
185,39,38808,1.4,45.650956202370224,45.57,Month-to-Month,Electronic Check,East,High,0,0,1
186,51,26586,4.1,84.37399927066397,76.82,One Year,Electronic Check,East,Low,0,1,1
187,48,50475,0.9,60.333316579066015,26.83,Month-to-Month,Electronic Check,West,High,0,0,0
188,41,76260,4.3,56.70529256499232,78.56,Month-to-Month,Bank Transfer,North,Low,0,0,1
189,30,39629,9.6,61.988936588675806,52.93,Two Year,Credit Card,South,High,0,1,0
190,22,81082,2.9,108.63738130126865,54.14,Month-to-Month,Bank Transfer,South,Medium,0,1,0
191,36,72813,3.3,34.628964605206136,48.16,Month-to-Month,Mailed Check,West,Medium,1,1,0
192,53,22203,0.2,39.78930678910704,32.89,One Year,Credit Card,East,Medium,1,1,0
193,44,27706,7.0,30.149721685954066,48.57,One Year,Electronic Check,East,Low,1,1,0
194,25,67958,1.2,50.81321370816125,66.38,Month-to-Month,Credit Card,North,Low,0,0,0
195,44,9027,3.3,59.41933197989248,69.75,Two Year,Electronic Check,North,Low,1,1,0
196,47,36967,13.5,46.62419466986061,50.96,Month-to-Month,Bank Transfer,North,Medium,0,0,0
197,30,18270,3.2,45.28491763326814,43.11,One Year,Electronic Check,East,Low,0,1,0
198,43,30880,4.5,57.563287599306385,41.0,Month-to-Month,Credit Card,South,Low,1,1,0
199,42,34052,2.1,45.96205915306545,48.15,Month-to-Month,Electronic Check,South,Low,1,1,1
200,27,32957,0.2,60.58316488929108,63.92,Two Year,Electronic Check,East,Medium,0,1,0
201,46,29621,5.6,75.05621824136688,54.16,One Year,Electronic Check,West,High,0,1,0
202,49,21951,0.1,67.18654845641451,51.02,One Year,Credit Card,North,Low,0,0,0
203,56,141570,4.2,70.85824024897364,53.12,Month-to-Month,Electronic Check,West,Low,0,1,1
204,55,112095,0.1,74.54653140712095,57.78,Two Year,Credit Card,North,Medium,1,0,0
205,24,21181,6.9,60.09090688213665,54.25,Month-to-Month,Bank Transfer,North,Medium,0,1,0
206,29,95814,0.6,52.14446153122418,40.51,Month-to-Month,Mailed Check,West,Medium,1,0,0
207,48,32218,2.5,41.09944472410248,53.97,Two Year,Bank Transfer,South,Low,1,1,0
208,48,43090,3.2,47.95879305455702,67.48,Month-to-Month,Credit Card,West,Medium,0,1,0
209,48,38762,2.1,45.5736604118159,65.16,Month-to-Month,Bank Transfer,South,Low,0,1,1
210,85,27921,1.5,68.17010187917641,50.22,Two Year,Credit Card,West,Low,1,1,0
211,49,68948,2.2,61.24208598269553,53.38,Two Year,Credit Card,North,Medium,0,1,0
212,56,43012,1.3,67.54164152885743,85.45,One Year,Credit Card,East,Medium,1,1,0
213,54,30881,2.0,34.11393659019727,32.09,Month-to-Month,Electronic Check,West,Low,0,1,0
214,50,19584,1.6,80.77149071633943,73.4,Month-to-Month,Bank Transfer,South,Medium,1,0,0
215,37,24551,2.9,47.314353312878275,38.93,Month-to-Month,Electronic Check,North,Low,0,1,0
216,51,16272,1.0,35.199700442656074,66.56,Month-to-Month,Credit Card,North,Medium,1,1,1
217,31,40405,15.7,47.09408023320737,43.56,Month-to-Month,Credit Card,West,Low,1,0,0
218,38,20781,2.4,99.70778786657515,104.42,Month-to-Month,Bank Transfer,South,Low,1,1,0
219,35,34680,0.8,48.02109640315179,75.41,Month-to-Month,Electronic Check,South,High,1,0,0
220,43,85268,2.3,49.14826351352334,46.5,Month-to-Month,Credit Card,East,Low,0,1,1
221,72,77622,7.0,51.54211574866583,44.23,One Year,Bank Transfer,West,Medium,1,0,1
222,18,39428,0.1,52.3248330982338,58.53,Month-to-Month,Electronic Check,South,High,0,1,0
223,50,38257,4.0,40.933430815577424,45.84,Two Year,Mailed Check,West,Medium,1,1,0
224,21,112863,2.8,57.577835497710346,53.72,Month-to-Month,Bank Transfer,South,Medium,1,0,0
225,35,53445,0.7,74.36070834756994,47.03,Month-to-Month,Credit Card,East,Low,1,1,1
226,56,33513,6.0,60.65720767861673,46.71,One Year,Bank Transfer,North,High,1,1,0
227,42,18318,1.6,34.99902461980026,29.98,Month-to-Month,Mailed Check,North,Low,1,1,1
228,27,49842,1.2,48.80177371119325,58.93,Month-to-Month,Credit Card,West,High,0,0,0
229,32,63330,6.2,45.072506798170664,65.47,One Year,Electronic Check,South,Medium,1,0,0
230,50,28355,3.6,55.95291042822642,67.25,Month-to-Month,Bank Transfer,South,Medium,1,0,1
231,32,47106,8.0,78.9481300881217,70.79,Two Year,Electronic Check,East,Low,1,0,0
232,44,32860,3.5,52.32010967162411,50.99,One Year,Electronic Check,East,Low,1,1,0
233,42,36271,4.7,53.41321236033296,50.56,Month-to-Month,Bank Transfer,North,Low,1,1,1
234,33,10215,6.3,86.99760673874972,74.71,Month-to-Month,Electronic Check,East,Medium,1,1,1
235,69,35526,0.2,70.77170785008988,53.52,One Year,Bank Transfer,East,Medium,0,0,0
236,50,68401,5.2,65.33346307791763,57.04,One Year,Credit Card,West,Medium,1,1,0
237,18,28359,3.3,90.24636907543196,76.29,Two Year,Bank Transfer,South,High,0,0,0
238,44,41311,0.3,63.816602586292234,71.23,One Year,Electronic Check,South,High,0,0,0
239,33,26482,2.5,19.2425114444046,43.94,Month-to-Month,Credit Card,South,Low,1,1,0
240,53,48934,0.3,69.9879836418465,66.46,Month-to-Month,Electronic Check,North,Low,1,0,1
241,31,35628,4.7,26.343847771864297,20.34,One Year,Electronic Check,North,Medium,1,1,0
242,40,23942,2.8,63.13609663448406,68.92,Month-to-Month,Electronic Check,North,High,1,0,1
243,48,83525,10.7,24.152615665673682,38.59,One Year,Electronic Check,West,Medium,1,1,0
244,53,66897,0.7,46.59660261280145,44.22,One Year,Mailed Check,West,Low,0,1,0
245,26,28776,3.3,48.45187846702232,33.84,One Year,Credit Card,South,Medium,1,1,0
246,37,52774,0.8,41.137856069828445,28.77,Month-to-Month,Credit Card,North,Medium,1,0,1
247,35,53937,3.3,48.7206640505584,48.21,One Year,Credit Card,North,High,1,0,0
248,33,57140,4.5,73.58611096648994,85.6,Month-to-Month,Mailed Check,South,Medium,1,1,0
249,64,15806,4.5,42.14884758112804,40.55,One Year,Bank Transfer,West,High,1,1,0
250,47,69817,5.9,64.81253583118973,49.04,One Year,Bank Transfer,South,Low,1,1,0
251,25,29338,6.7,37.618306487068594,66.37,Month-to-Month,Electronic Check,West,High,1,1,0
252,53,32964,0.3,51.58900762494167,45.14,Month-to-Month,Credit Card,South,Low,1,0,1
253,69,171242,1.5,60.829106793894105,54.96,One Year,Electronic Check,East,High,1,0,0
254,55,47383,4.1,37.062488500865925,43.87,Month-to-Month,Bank Transfer,East,High,1,0,0
255,22,32452,2.4,31.38903220760758,24.7,Month-to-Month,Electronic Check,North,Medium,0,1,0
256,35,11933,0.7,63.85380671041999,75.35,Two Year,Bank Transfer,South,Medium,1,1,0
257,58,86195,2.8,75.21544718813149,59.94,One Year,Electronic Check,West,High,1,1,0
258,32,19151,1.8,53.5768296492273,59.62,One Year,Credit Card,South,Low,0,1,0
259,47,23112,1.7,46.76836768197933,59.71,Month-to-Month,Credit Card,South,Medium,1,1,0
260,52,33448,5.8,57.80215697839096,82.9,Two Year,Electronic Check,South,High,1,1,0
261,29,87467,1.8,55.99863853777685,39.93,One Year,Electronic Check,South,Medium,0,1,0
262,41,61407,0.1,59.372245732802526,59.17,Month-to-Month,Electronic Check,South,High,1,0,1
263,18,36797,0.2,9.491588194353142,40.97,One Year,Credit Card,North,Medium,0,1,0
264,28,47551,6.8,35.75612275901266,35.46,Month-to-Month,Bank Transfer,West,Medium,1,1,0
265,38,28847,11.3,39.78585810213663,49.51,Month-to-Month,Credit Card,North,Low,1,1,1
266,25,43339,4.1,57.71561731320813,75.51,Month-to-Month,Credit Card,South,Low,0,1,0
267,63,41786,1.6,58.345801905200794,52.03,Month-to-Month,Credit Card,North,Medium,0,0,1
268,23,68379,9.8,66.45124879631265,73.65,One Year,Credit Card,North,Low,1,0,0
269,36,68319,3.8,59.636471485787865,60.41,Month-to-Month,Electronic Check,East,Low,0,1,1
270,43,52664,6.5,31.586768733027956,49.19,One Year,Credit Card,West,High,1,1,0
271,60,32882,5.1,81.04608311653108,87.35,Month-to-Month,Electronic Check,East,Medium,0,1,0
272,23,60355,1.7,77.89452946160259,65.96,Month-to-Month,Credit Card,South,Low,1,0,0
273,57,38155,2.3,32.352448779515335,45.48,Month-to-Month,Bank Transfer,South,Medium,0,0,0
274,42,22135,0.7,60.988695298735294,43.62,Month-to-Month,Credit Card,North,Medium,0,1,0
275,29,32150,1.2,44.282361065625715,56.63,Month-to-Month,Electronic Check,South,High,1,0,0
276,48,42044,5.3,57.49955180560987,45.03,Month-to-Month,Electronic Check,North,Medium,0,0,0
277,44,66212,7.9,73.95958503355367,47.13,One Year,Electronic Check,East,Medium,1,1,0
278,34,36281,4.5,93.34187679377726,69.24,One Year,Credit Card,North,Low,1,0,0
279,42,20639,2.2,68.52299869256699,73.06,One Year,Credit Card,North,High,0,0,0
280,36,41407,0.3,60.308825231982446,71.32,One Year,Electronic Check,West,Medium,0,0,0
281,43,42719,0.2,48.88321897045065,35.58,Two Year,Bank Transfer,West,Low,0,1,0
282,50,44454,1.6,58.278427678201176,53.35,Month-to-Month,Credit Card,North,Medium,1,0,0
283,62,66564,2.2,79.47589407990964,69.34,Two Year,Bank Transfer,South,Low,1,1,0
284,25,70291,3.3,54.195242378327464,55.33,Month-to-Month,Credit Card,East,High,0,1,0
285,69,28945,0.0,39.04997227574229,62.39,One Year,Credit Card,South,Medium,0,1,1
286,18,28598,16.0,25.845582420700723,55.7,One Year,Mailed Check,West,Low,1,1,1
287,40,22649,1.6,64.23486161338451,60.73,One Year,Electronic Check,South,Low,1,1,1
288,49,58944,6.6,59.451186261299306,52.51,Two Year,Electronic Check,North,Low,0,1,0
289,45,89040,2.7,43.37365288127866,53.92,Month-to-Month,Bank Transfer,North,Medium,0,0,0
290,33,33748,0.5,73.46825426273136,92.53,Month-to-Month,Credit Card,East,Medium,1,1,0
291,39,35144,5.6,47.40801644102265,89.42,Month-to-Month,Mailed Check,East,Low,1,1,1
